household_id,county_fips,hh_size,income_usd,housing_type,created_at_utc
c132605c-80be-46cf-883a-e12c46ac10ae,53033,1,90572,Townhome,2026-02-17 22:45:46+00:00
71ae29d6-2d8f-4f87-a61d-d9e5a3cd5cfa,53033,4,170568,Other,2026-02-17 22:45:46+00:00
c9abe1fe-4304-44c1-809a-3e3cc922ff8c,53033,1,104959,Apartment,2026-02-17 22:45:46+00:00
0bf7ce84-6041-45b3-b510-5404c0a577bd,53033,3,26037,Other,2026-02-17 22:45:46+00:00
4763475d-734c-4cf0-9eb6-1d39a6b7e937,53033,1,127738,Townhome,2026-02-17 22:45:46+00:00
667e72b5-1c3b-41b0-8b8f-38f0dfc221c6,53033,1,93238,SFH,2026-02-17 22:45:46+00:00
00bbe4c1-c6b5-470d-822a-51201d5b113a,53033,3,129956,SFH,2026-02-17 22:45:46+00:00
b1a28979-a72f-44be-8d38-7ef4adb82e5c,53033,1,110574,Other,2026-02-17 22:45:46+00:00
76bbc6dc-8c4c-44a4-96f9-fd891177e2a1,53033,3,179281,SFH,2026-02-17 22:45:46+00:00
8a86b6e4-8f6b-4857-9d60-c25023d5b62f,53033,3,111945,Mobile,2026-02-17 22:45:46+00:00
5db958e8-186b-4231-b7bc-9d3dc0ff30a3,53033,2,3734,Other,2026-02-17 22:45:46+00:00
82adcb39-0268-4966-82ad-e2d0de1d4874,53033,3,87935,SFH,2026-02-17 22:45:46+00:00
be94eeb6-61dd-4865-9458-4f29df60677c,53033,2,12101,Mobile,2026-02-17 22:45:46+00:00
ead01108-51ed-437d-8fe3-01427844cd78,53033,2,75202,Single Family,2026-02-17 22:45:46+00:00
e4fae7e4-054c-48e1-9f38-6dabb47547e6,53033,2,82256,Mobile,2026-02-17 22:45:46+00:00
d88f8acb-70b5-4cbc-ad1a-771d1c9c5ec8,53033,2,175645,Townhome,2026-02-17 22:45:46+00:00
8ec6ad49-bf94-44fe-a1ec-cacae46eb16b,53033,2,114659,SFH,2026-02-17 22:45:46+00:00
75124d38-d2a7-49f2-b1ab-7ef9c07b1743,53033,4,188081,Apartment,2026-02-17 22:45:46+00:00
cc43aa71-e831-4116-bb3a-2dab1d4389ad,53033,2,160156,SFH,2026-02-17 22:45:46+00:00
b7a6c9ea-e4ae-42c9-94b1-249ce27e4c2a,53033,1,100529,SFH,2026-02-17 22:45:46+00:00
2031092b-05a9-478a-a608-04fc45948be3,53033,2,100517,SFH,2026-02-17 22:45:46+00:00
75fb7a9f-411a-4f88-b741-ba8f8ac0a026,53033,1,181479,Apartment,2026-02-17 22:45:46+00:00
c6a53280-09e1-4a26-935b-69542bd085c8,53033,2,66378,SFH,2026-02-17 22:45:46+00:00
4ab1d4a0-e3eb-414a-b214-80d002581579,53033,2,81956,Townhome,2026-02-17 22:45:46+00:00
068fc898-c12a-4c1d-b1b2-dd85c3112d85,53033,4,120911,Other,2026-02-17 22:45:46+00:00
b382dca1-76c2-470f-878f-ebb769903adb,53033,4,116430,Apartment,2026-02-17 22:45:46+00:00
b77cb5b2-abd6-47c9-96c2-cc835e4bf7c7,53033,2,169582,Other,2026-02-17 22:45:46+00:00
63deb219-938a-432b-a398-deadc925e26f,53033,2,99725,Apartment,2026-02-17 22:45:46+00:00
8fcf575b-46de-4fb9-9d87-d6ce842c3761,53033,2,155072,Apartment,2026-02-17 22:45:46+00:00
5ce99381-396a-4c45-a08c-d33ae1a3f809,53033,2,82122,Apartment,2026-02-17 22:45:46+00:00
c89993e7-a80c-4197-8261-376c720f1307,53033,4,55199,Other,2026-02-17 22:45:46+00:00
82b383a9-7842-401a-8b3d-46b7b449151c,53033,1,0,Other,2026-02-17 22:45:46+00:00
25baa9ae-5a0c-4c20-b63a-c210b6dc1b2c,53033,3,136311,Townhome,2026-02-17 22:45:46+00:00
